Date : 2024-10-29 02:59:55
Directory : d:\final project\Graduation-Project
Total : 116 files,  13034 codes, 754 comments, 1023 blanks, all 14811 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| d:\final project\Graduation-Project\lib\views\journalPages\widgets\JournalYearData.dart           | Dart       |         34 |         12 |          5 |         51 |
| d:\final project\Graduation-Project\lib\views\models\question.dart                                | Dart       |          5 |          0 |          2 |          7 |
| d:\final project\Graduation-Project\lib\views\notifications\notifications.dart                    | Dart       |        278 |          7 |         15 |        300 |
| d:\final project\Graduation-Project\lib\views\reasonfordeleteaccount.dart                         | Dart       |        151 |          3 |          8 |        162 |
| d:\final project\Graduation-Project\lib\views\requestdata\requestdata.dart                        | Dart       |        241 |          1 |          9 |        251 |
| d:\final project\Graduation-Project\lib\views\result1.dart                                        | Dart       |        106 |          0 |          3 |        109 |
| d:\final project\Graduation-Project\lib\views\resultPage2.dart                                    | Dart       |        263 |         61 |         14 |        338 |
| d:\final project\Graduation-Project\lib\views\splashfile\slidingtext.dart                         | Dart       |         25 |          0 |          4 |         29 |
| d:\final project\Graduation-Project\lib\views\splashfile\splashbody.dart                          | Dart       |         56 |          5 |         15 |         76 |
| d:\final project\Graduation-Project\lib\views\splashfile\splashview.dart                          | Dart       |         13 |          0 |          5 |         18 |
| d:\final project\Graduation-Project\lib\views\widgets\custom_button.dart                          | Dart       |         56 |          0 |          8 |         64 |
| d:\final project\Graduation-Project\lib\views\widgets\custom_widgets.dart                         | Dart       |         95 |          1 |         12 |        108 |
| d:\final project\Graduation-Project\lib\views\widgets\navigateor.dart                             | Dart       |         19 |          1 |          4 |         24 |
| d:\final project\Graduation-Project\linux\CMakeLists.txt                                          | CMake      |        118 |          0 |         28 |        146 |
| d:\final project\Graduation-Project\linux\flutter\CMakeLists.txt                                  | CMake      |         79 |          0 |         10 |         89 |
| d:\final project\Graduation-Project\linux\flutter\generated_plugin_registrant.cc                  | C++        |         11 |          4 |          5 |         20 |
| d:\final project\Graduation-Project\linux\flutter\generated_plugin_registrant.h                   | C++        |          5 |          5 |          6 |         16 |
| d:\final project\Graduation-Project\linux\flutter\generated_plugins.cmake                         | CMake      |         20 |          0 |          6 |         26 |
| d:\final project\Graduation-Project\linux\main.cc                                                 | C++        |          5 |          0 |          2 |          7 |
| d:\final project\Graduation-Project\linux\my_application.cc                                       | C++        |         82 |         17 |         26 |        125 |
| d:\final project\Graduation-Project\linux\my_application.h                                        | C++        |          7 |          7 |          5 |         19 |
| d:\final project\Graduation-Project\macos\Flutter\GeneratedPluginRegistrant.swift                 | Swift      |         20 |          3 |          4 |         27 |
| d:\final project\Graduation-Project\macos\RunnerTests\RunnerTests.swift                           | Swift      |          7 |          2 |          4 |         13 |
| d:\final project\Graduation-Project\macos\Runner\AppDelegate.swift                                | Swift      |          8 |          0 |          2 |         10 |
| d:\final project\Graduation-Project\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json | JSON       |         68 |          0 |          1 |         69 |
| d:\final project\Graduation-Project\macos\Runner\Base.lproj\MainMenu.xib                          | XML        |        343 |          0 |          1 |        344 |
| d:\final project\Graduation-Project\macos\Runner\MainFlutterWindow.swift                          | Swift      |         12 |          0 |          4 |         16 |
| d:\final project\Graduation-Project\pubspec.yaml                                                  | YAML       |         54 |         47 |         18 |        119 |
| d:\final project\Graduation-Project\test\widget_test.dart                                         | Dart       |         14 |         10 |          7 |         31 |
| d:\final project\Graduation-Project\web\index.html                                                | HTML       |         19 |         15 |          5 |         39 |
| d:\final project\Graduation-Project\web\manifest.json                                             | JSON       |         35 |          0 |          1 |         36 |
| d:\final project\Graduation-Project\windows\CMakeLists.txt                                        | CMake      |         89 |          0 |         20 |        109 |
| d:\final project\Graduation-Project\windows\flutter\CMakeLists.txt                                | CMake      |         98 |          0 |         12 |        110 |
| d:\final project\Graduation-Project\windows\flutter\generated_plugin_registrant.cc                | C++        |         12 |          4 |          5 |         21 |
| d:\final project\Graduation-Project\windows\flutter\generated_plugin_registrant.h                 | C++        |          5 |          5 |          6 |         16 |
| d:\final project\Graduation-Project\windows\flutter\generated_plugins.cmake                       | CMake      |         21 |          0 |          6 |         27 |
| d:\final project\Graduation-Project\windows\runner\CMakeLists.txt                                 | CMake      |         34 |          0 |          7 |         41 |
| d:\final project\Graduation-Project\windows\runner\flutter_window.cpp                             | C++        |         49 |          7 |         16 |         72 |
| d:\final project\Graduation-Project\windows\runner\flutter_window.h                               | C++        |         20 |          5 |          9 |         34 |
| d:\final project\Graduation-Project\windows\runner\main.cpp                                       | C++        |         30 |          4 |         10 |         44 |
| d:\final project\Graduation-Project\windows\runner\resource.h                                     | C++        |          9 |          6 |          2 |         17 |
| d:\final project\Graduation-Project\windows\runner\utils.cpp                                      | C++        |         54 |          2 |         10 |         66 |
| d:\final project\Graduation-Project\windows\runner\utils.h                                        | C++        |          8 |          6 |          6 |         20 |
| d:\final project\Graduation-Project\windows\runner\win32_window.cpp                               | C++        |        210 |         24 |         55 |        289 |
| d:\final project\Graduation-Project\windows\runner\win32_window.h                                 | C++        |         48 |         31 |         24 |        103 |
| Total                                                                                             |            |     13,034 |        754 |      1,023 |     14,811 |
+---------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
